inep,status,tempo,nome_escola,uf_escola,dependencia_escola,estudantes_escola,estudantes_escola_maior_turno,vel_adequada,status_medidor,vel_download,vel_upload,latencia,jitter,perda_pacote,nro_medicoes,medicoes_escola,max_95_down,provedoresSIMET_regiao,provedor_do_estabelecimento
15515613,sucesso,11.11,Escola Escola Estadual Centro Educacional Amazonia,Município: Ananindeua - Para,Gestão: Estadual,Número de estudantes: 214 (Censo 2025),Número de estudantes no maior turno: 111 (Censo 2025),Velocidade adequada: 111Mbit/s,Medidor ativo,"88,8","36,9",64,"1,2","0,7",101,NA,-,"V Tal, SpaceX Starlink",SpaceX Starlink
15236005,sucesso,6.70,Escola Centro De Atendimento Educacional Especializado De Abaetetuba,Município: Abaetetuba - Para,Gestão: Estadual,Número de estudantes: 0 (Censo 2025),Número de estudantes no maior turno: NA (Censo 2025),Velocidade adequada: NAMbit/s,Medidor Não instalado,,,,,,,NA,-,"V Tal, SpaceX Starlink",
15218007,sucesso,10.29,Escola Escola Estadual Padre Joao Boonekamp,Município: Cametá - Para,Gestão: Estadual,Número de estudantes: 407 (Censo 2025),Número de estudantes no maior turno: 207 (Censo 2025),Velocidade adequada: 207Mbit/s,Medidor ativo,"268,6","148,7","27,3",0,"0,1",640,NA,-,"V Tal, SpaceX Starlink",
15215008,sucesso,8.53,Escola Escola Estadual Novo Paraiso,Município: São Geraldo Do Araguaia - Para,Gestão: Estadual,Número de estudantes: 145 (Censo 2025),Número de estudantes no maior turno: 91 (Censo 2025),Velocidade adequada: 91Mbit/s,Medidor ativo,"33,9","28,2","98,5","6,8","0,5",291,NA,-,"V Tal, SpaceX Starlink",
15213803,sucesso,7.01,Escola Escola Estadual Abraao Simao Jatene,Município: Cametá - Para,Gestão: Estadual,Número de estudantes: 201 (Censo 2025),Número de estudantes no maior turno: 201 (Censo 2025),Velocidade adequada: 201Mbit/s,Medidor Não instalado,,,,,,,NA,-,"V Tal, SpaceX Starlink",
15213404,sucesso,8.72,Escola Escola Estadual Irma Carla Giussani,Município: São Miguel Do Guamá - Para,Gestão: Estadual,Número de estudantes: 893 (Censo 2025),Número de estudantes no maior turno: 356 (Censo 2025),Velocidade adequada: 356Mbit/s,Medidor Não instalado,,,,,,,NA,-,"V Tal, SpaceX Starlink",
15212807,sucesso,7.05,Escola Escola Estadual Joao Prudencio De Brito,Município: Parauapebas - Para,Gestão: Estadual,Número de estudantes: 548 (Censo 2025),Número de estudantes no maior turno: 352 (Censo 2025),Velocidade adequada: 352Mbit/s,Medidor Não instalado,,,,,,,NA,-,"V Tal, SpaceX Starlink",
15212602,sucesso,9.31,Escola Escola Estadual Prof Raimundo Laureano Da Silva Souza,Município: Paragominas - Para,Gestão: Estadual,Número de estudantes: 954 (Censo 2025),Número de estudantes no maior turno: 430 (Censo 2025),Velocidade adequada: 430Mbit/s,Medidor ativo,"42,9","44,4","44,6","2,1","0,5",47,NA,-,"Ibl Banda Larga Internet Informatica Ltda, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará, Alternativa Telecom","Prodepa Emp Tec Da Inf E Com Do Estado Do Pará, Alternativa Telecom"
15212203,sucesso,13.76,Escola Escola Estadual Raymundo Martins Vianna,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 1149 (Censo 2025),Número de estudantes no maior turno: 480 (Censo 2025),Velocidade adequada: 480Mbit/s,Medidor ativo,"46,5","42,8","4,2","0,2","0,9",339,NA,-,"nome não informado, SpaceX Starlink, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará","SpaceX Starlink, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará"
15211053,sucesso,9.57,Escola Escola Estadual Dom Jose Elias Chaves,Município: Pacajá - Para,Gestão: Estadual,Número de estudantes: 450 (Censo 2025),Número de estudantes no maior turno: 228 (Censo 2025),Velocidade adequada: 228Mbit/s,Medidor Não instalado,,,,,,,NA,-,"nome não informado, SpaceX Starlink, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15209008,sucesso,6.58,Escola E E E T Prof Anisio Teixeira,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 1402 (Censo 2025),Número de estudantes no maior turno: 699 (Censo 2025),Velocidade adequada: 699Mbit/s,Medidor Não instalado,,,,,,,NA,-,"nome não informado, SpaceX Starlink, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15203204,sucesso,10.63,Escola Escola Estadual Milton Pereira De Melo,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 0 (Censo 2025),Número de estudantes no maior turno: NA (Censo 2025),Velocidade adequada: NAMbit/s,Medidor ativo,"42,1",41,"2,4","0,5","0,7",233,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",Prodepa Emp Tec Da Inf E Com Do Estado Do Pará
15182177,sucesso,6.42,Escola Escola Estadual Padre Sales - Eetepa Capanema,Município: Capanema - Para,Gestão: Estadual,Número de estudantes: 336 (Censo 2025),Número de estudantes no maior turno: 309 (Censo 2025),Velocidade adequada: 309Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15182126,sucesso,6.92,Escola Escola De Ensino Tecnico Do Para - Emeif Irma Gabriela - Eetepa Redencao,Município: Redenção - Para,Gestão: Estadual,Número de estudantes: 179 (Censo 2025),Número de estudantes no maior turno: 179 (Censo 2025),Velocidade adequada: 179Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15181545,sucesso,6.31,Escola Anexo Ee Rui Barbosa - Ilha Das Oncas,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 178 (Censo 2025),Número de estudantes no maior turno: 178 (Censo 2025),Velocidade adequada: 178Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15181502,sucesso,7.33,Escola Anexo Jarkojahere,Município: Bom Jesus Do Tocantins - Para,Gestão: Estadual,Número de estudantes: 21 (Censo 2025),Número de estudantes no maior turno: 10 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15181499,sucesso,6.98,Escola Escola Estadual Indigena Akrati Me Hakre,Município: Bom Jesus Do Tocantins - Para,Gestão: Estadual,Número de estudantes: 26 (Censo 2025),Número de estudantes no maior turno: 11 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15181480,sucesso,6.32,Escola Escola Estadual Indigena Jathiati Parkateje,Município: Bom Jesus Do Tocantins - Para,Gestão: Estadual,Número de estudantes: 44 (Censo 2025),Número de estudantes no maior turno: 23 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15181472,sucesso,6.66,Escola Escola Estadual Indigena Rokokateje,Município: Bom Jesus Do Tocantins - Para,Gestão: Estadual,Número de estudantes: 17 (Censo 2025),Número de estudantes no maior turno: 7 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15181464,sucesso,6.38,Escola Escola Estadual Indigena Pahixati,Município: Bom Jesus Do Tocantins - Para,Gestão: Estadual,Número de estudantes: 24 (Censo 2025),Número de estudantes no maior turno: 15 (Censo 2025),Velocidade adequada: 50Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15180689,sucesso,10.11,Escola Anexo Ee Padre Luciano Calderara - Vila De Curupaiti,Município: Viseu - Para,Gestão: Estadual,Número de estudantes: 402 (Censo 2025),Número de estudantes no maior turno: 196 (Censo 2025),Velocidade adequada: 196Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15180662,sucesso,7.87,Escola Escola Estadual De Ensino Integral Bilingue Mestra Idalina Rodrigues Pereira,Município: Belém - Para,Gestão: Estadual,Número de estudantes: 357 (Censo 2025),Número de estudantes no maior turno: 357 (Censo 2025),Velocidade adequada: 357Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15180492,sucesso,9.40,Escola Centro De Educacao Profissiona De Parauapebas,Município: Parauapebas - Para,Gestão: Estadual,Número de estudantes: 69 (Censo 2025),Número de estudantes no maior turno: 69 (Censo 2025),Velocidade adequada: 69Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
15180484,sucesso,6.50,Escola Centro De Educacao Profissional De Igarape Acu,Município: Igarapé-Açu - Para,Gestão: Estadual,Número de estudantes: 636 (Censo 2025),Número de estudantes no maior turno: 636 (Censo 2025),Velocidade adequada: 636Mbit/s,Medidor Não instalado,,,,,,,NA,-,"Jj Powernet, Prodepa Emp Tec Da Inf E Com Do Estado Do Pará",
